Item Code;Item Description;Part No.;Part Description;Model;Unit Of Measurement;Spare Part Type;Location;Specify;Part Category;Is Expiry date Required;Min Nos;Max Nos; Minimum Price Per Nos (RM) ; Maximum Price Per Nos (RM) ;Brand;Status;Expiry Age (In Month);Current Stock Level
BP0001;Batteries/ UPS;01-0203-0903-001;BATTERY MINDRAY DUO;Vs-800;Unit;Just In Time;Company Site Office;;Biomedical;No;1;15; MYR 500,00 ; MYR 800,00 ;Mindray;Active;;0
BP0014;Hoses/ Tubings/ Adaptors/ Couplers/ Connectors/ Pipes;01-0803-0107-001;Hose heater wire 900mr751;Mr 850aeu;Unit;One Off;Company Site Office;;Biomedical;No;0;5; MYR 320,00 ; MYR 368,00 ;Fisher & Paykel;Active;;3
BP0004;Cables/ Lead Wires (or any part of it);01-0401-0201-012;3 Lead Wire;Cardiolife TEC-7100K;Unit;Just In Time;Company Site Office;;Biomedical;No;0;10; MYR 125,00 ; MYR 500,00 ;Nihon Kohden;Active;;5
BP0001;Batteries/ UPS;01-0903-0504-001;Battery Smart Pack;Asena GS;Unit;One Off;Company Site Office;;Biomedical;No;0;5; MYR 425,00 ; MYR 700,00 ;ALARIS;Active;;15
BP0020;Paddles/ Wheels/ Castors/Brakes;01-0401-0206-001;External Paddle for TEC-7621K;Cardiolife TEC-7621K;Unit;One Off;Company Site Office;;Biomedical;No;0;10; MYR 1.166,00 ; MYR 3.000,00 ;Nihon Kohden;Active;;3
BP0025;Sensors/ Detectors;01-0903-0303-001;DROP SENSOR TERUMO TE-112;Te-112;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;3;10; MYR 1.468,00 ; MYR 1.500,00 ;Terumo;Active;;4
BP0020;Paddles/ Wheels/ Castors/Brakes;01-0802-0503-096;CASTOR;4008s;Unit;One Off;Company Site Office;;Biomedical;No;0;60; MYR 118,00 ; MYR 500,00 ;Fresenius;Active;;0
BP0001;Batteries/ UPS;01-1909-0304-001;Sypu Battery 12V 700Mah(3.6V-600Mah);Perfusor Compact;Unit;Just In Time;Centralized;;Biomedical;No;5;40; MYR 175,00 ; MYR 201,25 ;B.Braun;Active;0;14
BP0004;Cables/ Lead Wires (or any part of it);01-1604-2700-004;SPO2 Nellcor Interm Cable;;Unit;Just In Time;Company Site Office;;Biomedical;No;0;5; MYR 550,00 ; MYR 900,00 ;DRAEGER;Active;;1
BP0025;Sensors/ Detectors;01-0901-0104-001;Skin Temp Probe (CM-6450Y);V-2100g;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;1;5; MYR 650,00 ; MYR 900,00 ;ATOM;Active;;2
BP0028;Transducers/ Probes;01-0303-0701-002;Ultrasound Tranducer;Fm 200;Unit;One Off;Company Site Office;;Biomedical;No;0;5; MYR 4.500,00 ; MYR 7.000,00 ;Philips;Active;;2
BP0003;Bulbs/ Lamps;01-0403-0401-010;Bulb 15v 150W;;Unit;One Off;Company Site Office;;Biomedical;No;0;15; MYR 42,00 ; MYR 50,00 ;Siemens;Active;;1
BP0026;Solenoids/ Valves/ Gauges;01-1903-0101-002;BP SET MANUAL Rubber Ball with Control Valve;Accoson;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;1;100; MYR 16,50 ; MYR 50,00 ;ACCOSON;Active;;6
BP0025;Sensors/ Detectors;01-2202-1701-003;Exhalation Flow Sensor MT for E360;E360;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;1;20; MYR 300,00 ; MYR 500,00 ;NEWPORT;Active;;2
BP0013;Heater Elements;01-0803-0105-009;Heater Wire adaptor dual 900MR805 humidifier MR850;;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;1;5; MYR 598,00 ; MYR 700,00 ;Fisher & Paykel;Active;;1
BP0012;Filters;01-0901-0101-002;FILTER ATOM;V850;Unit;Just In Time;Company Site Office;;Biomedical;No;10;30; MYR 110,00 ; MYR 150,00 ;Atom;Active;;0
BP0010;Electronic Components;01-2401-0101-005;FUSE;Kxo-50f;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;10;50; MYR 0,40 ; MYR 20,00 ;TOSHIBA;Active;;498
BP0004;Cables/ Lead Wires (or any part of it);01-0503-1101-001;ECG 10 LEAD MORTARA;Eli 250;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;1;2; MYR 125,00 ; MYR 300,00 ;MORTARA;Active;;0
BP0004;Cables/ Lead Wires (or any part of it);01-1601-0503-006;5-Lead Trunk Cable;S/5 Ccm;Unit;Just In Time;Company Site Office;;Biomedical;No;0;5; MYR 200,00 ; MYR 500,00 ;;Active;;0
BP0025;Sensors/ Detectors;01-2202-1103-001;Oxygen Sensor HAMILTON;Hamilton T1;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;1;5; MYR 1.000,00 ; MYR 2.000,00 ;;Active;;6
BP0011;Equipment Specific Parts;01-2305-0101-004;User Interface Assembly;750;Unit;One Off;Company Site Office;;Biomedical;No;0;15; MYR 680,00 ; MYR 900,00 ;;Active;;2
BP0014;Hoses/ Tubings/ Adaptors/ Couplers/ Connectors/ Pipes;01-2305-0101-002;Swivel Air Hose With sensor;750;Unit;One Off;Company Site Office;;Biomedical;No;0;15; MYR 720,00 ; MYR 900,00 ;;Active;;4
BP0019;O-Rings/ Belts/ Seals/ Gaskets/ Washers;01-0207-0101-003;GREEN BELT;Lactina Electric Plus;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;1;15; MYR 198,00 ; MYR 300,00 ;;Active;;3
BP0001;Batteries/ UPS;01-0209-0000-002;BATTERY DOPPLER NICOLET;Imexdop Ct+;Unit;One Off;Company Site Office;;Biomedical;No;0;15; MYR 150,00 ; MYR 300,00 ;;Active;;15
BP0012;Filters;01-1812-0401-001;Carbon Cartrid filter 10;;Unit;Just In Time;Company Site Office;;Biomedical;No;0;20; MYR 14,00 ; MYR 20,00 ;;Active;;2
BP0012;Filters;01-1812-0402-001;Cartridge filter imicon 10;;Unit;Just In Time;Company Site Office;;Biomedical;No;5;20; MYR 14,00 ; MYR 20,00 ;;Active;;18
BP0005;Casing/ Covers/ Brackets/ Latches/ Part Holders;01-0903-0503-001;Cover Syringe pump;IVAC PCAM;Unit;One Off;Company Site Office;;Biomedical;No;0;5; MYR 260,00 ; MYR 500,00 ;;Active;;5
BP0025;Sensors/ Detectors;01-1604-2606-001;Spo2 Extension sensor;IntelliVue MP20;Unit;Just In Time;Company Site Office;;Biomedical;No;0;15; MYR 150,00 ; MYR 300,00 ;Philips;Active;;10
BP0003;Bulbs/ Lamps;01-1301-1001-001;Halogen Bulb 6V 30W (Philips);;Unit;Just In Time;Company Site Office;;Biomedical;No;5;10; MYR 96,00 ; MYR 150,00 ;Philips;Active;;3
BP0001;Batteries/ UPS;01-1603-2601-003;Rechargeable Batttery;;Unit;Just In Time;Company Site Office;;Biomedical;No;5;10; MYR 525,00 ; MYR 800,00 ;Mindray;Active;;1
BP0004;Cables/ Lead Wires (or any part of it);01-2203-0403-001;FLOW SENSOR CONECTOR CABLE 8416600;Babylog VN500;Unit;Just In Time;Company Site Office;;Biomedical;No;2;5; MYR 943,00 ; MYR 1.200,00 ;DRAEGER;Active;;0
BP0003;Bulbs/ Lamps;01-1912-0201-002;HALOGEN Bulb Derung 24v 75w;HS-100;Unit;Just In Time;Company Site Office;;Biomedical;No;5;20; MYR 75,00 ; MYR 200,00 ;;Active;;11
BP0011;Equipment Specific Parts;01-0909-0200-004;Battery Oralix;Or-1500h;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;5;10; MYR 300,00 ; MYR 360,00 ;;Active;;14
BP0011;Equipment Specific Parts;01-1301-0109-001;Bulb mercury short ARC HBO 100/2;;Unit;Just In Time;Company Site Office;;Biomedical;No;0;30; MYR 480,00 ; MYR 700,00 ;OLYMPUS;Active;;6
BP0013;Heater Elements;01-0803-0105-002;900MR754 Heater Wire;Mr850;Unit;One Off;Company Site Office;;Biomedical;No;0;5; MYR 300,00 ; MYR 500,00 ;Fisher & Paykel;Active;;0
BP0013;Heater Elements;01-0803-0105-012;Heater Wire Adaptor 900MR559;;Unit;One Off;Company Site Office;;Biomedical;No;0;10; MYR 288,00 ; MYR 500,00 ;Fisher & Paykel;Active;;10
BP0011;Equipment Specific Parts;01-1201-0101-006;LAMB CARTRIDGE ASSY 6 SERIES )(608125-501);6-Series;Unit;One Off;Company Site Office;;Biomedical;No;0;10; MYR 190,00 ; MYR 500,00 ;WELCH ALLYN;Active;;0
BP0001;Batteries/ UPS;01-1502-0206-001;Lithium ION Battery 3.6V(Red);Keeler Profesional;Unit;Just In Time;Company Site Office;;Biomedical;No;1;5; MYR 480,00 ; MYR 1.000,00 ;KEELER;Active;;0
BP0003;Bulbs/ Lamps;01-0306-0303-001;Halogen Lamp;;Unit;Just In Time;Company Site Office;;Biomedical;No;2;5; MYR 1.571,00 ; MYR 2.000,00 ;;Active;;3
BP0001;Batteries/ UPS;01-0903-0207-003;Battery Pack BP55;Top 5500;Unit;One Off;Company Site Office;;Biomedical;No;1;15; MYR 110,00 ; MYR 250,00 ;Top;Active;;11
BP0008;Displays/ Backlights/ Panels;01-1601-1001-009;LCD MONITOR;Solar 8000;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;1;5; MYR 380,00 ; MYR 500,00 ;;Active;;3
BP0004;Cables/ Lead Wires (or any part of it);01-0503-0102-024;LEAD CABLE ECG;;Unit;Just In Time;Company Site Office;;Biomedical;No;1;15; MYR 250,00 ; MYR 500,00 ;Nihon Kohden;Active;;8
BP0004;Cables/ Lead Wires (or any part of it);01-1604-2102-001;NIBP INTERCONNECT CABLE;IntelliVue MP60;Unit;Just In Time;Company Site Office;;Biomedical;No;1;10; MYR 55,00 ; MYR 150,00 ;Philips;Active;;13
BP0001;Batteries/ UPS;01-1909-0205-010;Battery 9.6V 1.5Ah;Te-331;Unit;One Off;Company Site Office;;Biomedical;No;1;15; MYR 150,00 ; MYR 300,00 ;Terumo;Active;;3
BP0006;Cuffs;01-1601-1200-003;CUFF ADULT DURABLE;Propaq CS 242;Unit;Just In Time;Company Site Office;;Biomedical;No;2;20; MYR 90,00 ; MYR 100,00 ;WELCH ALLYN;Active;;4
BP0013;Heater Elements;01-0901-0601-001;Heater Elements;Pm78;Unit;Just In Time;Company Site Office;;Biomedical;No;1;100; MYR 500,00 ; MYR 700,00 ;;Active;;1
BP0012;Filters;01-2202-0902-002;INLET FILTER (PACK OF 6 PCS);BiPAP Vision;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;1;20; MYR 75,00 ; MYR 100,00 ;Respironics;Active;;21
BP0004;Cables/ Lead Wires (or any part of it);01-1601-0501-007;ECG 5 Lead;As/3;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;1;2; MYR 250,00 ; MYR 400,00 ;;Active;;6
BP0001;Batteries/ UPS;01-2202-0402-002;"Rechargeable Battery (for Draeger Evita 4); Valve Regulated Lead Acid 12V 3.4Ah (LC-R123R4PG)";Evita 4;Unit;One Off;Company Site Office;;Biomedical;No;4;20; MYR 155,00 ; MYR 300,00 ;Draeger;Active;;2
BP0004;Cables/ Lead Wires (or any part of it);01-0503-0102-023;3 LEAD ECG CABLE;6851k;Unit;Just In Time;Company Site Office;;Biomedical;No;1;10; MYR 150,00 ; MYR 250,00 ;Nihon Kohden;Active;;1
BP0001;Batteries/ UPS;01-1603-0901-005;Rechargeable Battery 12V 2.3Ah;2000;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;5;10; MYR 280,00 ; MYR 500,00 ;IVY;Active;;12
BP0013;Heater Elements;01-0324-0000-002;High Temperature Filament;;Unit;Just In Time;Company Site Office;;Biomedical;No;10;20; MYR 512,00 ; MYR 600,00 ;;Active;;5
BP0004;Cables/ Lead Wires (or any part of it);01-1604-2602-005;Battery Li-Ion 2.4ah/26.64 wh;;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;2;10; MYR 386,00 ; MYR 500,00 ;Philips;Active;;0
BP0011;Equipment Specific Parts;01-0803-0102-020;FISHER & PAYKEL ELECTRICAL ADAPTOR 900MR858;Mr700/730;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;5;100; MYR 336,00 ; MYR 500,00 ;Fisher & Paykel;Active;;8
BP0012;Filters;01-1813-0000-002;Cartridge filter big blue 20;;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;5;15; MYR 110,00 ; MYR 250,00 ;Fresenius;Active;;9
BP0001;Batteries/ UPS;01-1601-1101-001;Battery Pack 8.4V 8.0 Ah Ge Dash 2500;Dash 2500;Unit;Just In Time;Company Site Office;;Biomedical;No;5;10; MYR 1.125,00 ; MYR 1.500,00 ;;Active;;3
BP0025;Sensors/ Detectors;01-1601-0703-001;Durasensor Adult Finger Clip Sensor;Sc7000;Unit;Just In Time;Company Site Office;;Biomedical;No;5;10; MYR 400,00 ; MYR 550,00 ;Siemens;Active;;1
BP0003;Bulbs/ Lamps;01-0605-0103-001;SLIT LAMP BULB TAPCON HALOGEN;;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;5;10; MYR 21,00 ; MYR 30,00 ;Topcon;Active;;12
BP0012;Filters;01-1813-0001-001;Bacteria Filter 10;Mx-11;Unit;Just In Time;Company Site Office;;Biomedical;No;5;15; MYR 11,00 ; MYR 20,00 ;Fresenius;Active;;11
BP0012;Filters;01-1813-0001-002;Cartridge filter imicon 20;Mx-11;Unit;Just In Time;Company Site Office;;Biomedical;No;5;15; MYR 20,00 ; MYR 45,00 ;Fresenius;Active;;0
BP0025;Sensors/ Detectors;01-0803-0105-008;Temperature Probe 900MR869;;Unit;Just In Time;Company Site Office;;Biomedical;No;5;10; MYR 789,00 ; MYR 1.000,00 ;Fisher & Paykel;Active;;2
BP0004;Cables/ Lead Wires (or any part of it);01-0503-0303-005;10 Lead ECG Cable Kenz 108;Kenz 108;Unit;Just In Time;Company Site Office;;Biomedical;No;5;15; MYR 125,00 ; MYR 143,75 ;Suzuken;Active;0;12
BP0025;Sensors/ Detectors;01-0803-0102-003;FISHER&PAYKEL Temperature Probe 900MR560;Mr700/730;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;1;16; MYR 386,00 ; MYR 443,90 ;Fisher & Paykel;Active;0;10
BP0025;Sensors/ Detectors;01-0803-0102-019;FISHER&PAYKEL Temperature Probe 900MR860 FOR 850;Mr700/730;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;1;20; MYR 570,00 ; MYR 655,50 ;Fisher & Paykel;Active;0;0
BP0028;Transducers/ Probes;01-0802-0503-015;Fresenius 4008S TMP Transducer Complete;4008s;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;1;5; MYR 1.750,00 ; MYR 2.012,50 ;FRESENIUS;Active;0;2
BP0014;Hoses/ Tubings/ Adaptors/ Couplers/ Connectors/ Pipes;01-0802-0503-018;Hose Red;4008s;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;1;40; MYR 48,00 ; MYR 55,20 ;Fresenius;Active;0;0
BP0005;Casing/ Covers/ Brackets/ Latches/ Part Holders;01-0802-0503-025;Plunger Holder 20ml;4008s;Unit;One Off;Others;Vendor - By Purchase Order;Biomedical;No;0;2; MYR 85,00 ; MYR 97,75 ;Fresenius;Active;0;0
BP0024;"Printed Circuit Boards (PCB; Other than Power Supply)";01-2406-0201-030;Rotor Board GE AMX4;Amx-4;Unit;One Off;Others;Vendor - By Purchase Order;Biomedical;No;0;2; MYR 5.341,00 ; MYR 6.142,15 ;GE;Active;0;0
BP0024;"Printed Circuit Boards (PCB; Other than Power Supply)";01-2406-0201-041;Fil KV Control Board GE AMX4;Amx-4;Unit;One Off;Others;Vendor - By Purchase Order;Biomedical;No;0;1; MYR 5.002,00 ; MYR 5.752,30 ;GE;Active;0;0
BP0024;"Printed Circuit Boards (PCB; Other than Power Supply)";01-2406-0201-043;CPU Board GE AMX4;GE AMX-4;Unit;One Off;Others;Vendor - By Purchase Order;Biomedical;No;0;2; MYR 5.945,40 ; MYR 6.837,21 ;GE;Active;0;1
BP0001;Batteries/ UPS;01-2406-0201-045;Battery Upgrade Kit;GE AMX-4;Unit;Just In Time;Centralized;;Biomedical;No;0;10; MYR 3.857,69 ; MYR 4.436,34 ;GE;Active;0;1
BP0004;Cables/ Lead Wires (or any part of it);01-0503-0301-003;Patient Cable;103;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;1;5; MYR 450,00 ; MYR 517,50 ;Suzuken;Active;0;0
BP0004;Cables/ Lead Wires (or any part of it);01-0503-0302-002;KENZ 106 10 LEAD ECG CABLE;106;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;1;14; MYR 800,00 ; MYR 920,00 ;Suzuken;Active;0;7
BP0028;Transducers/ Probes;01-0303-0102-002;Toco Tranducer;M1353a;Unit;Just In Time;Centralized;;Biomedical;No;0;5; MYR 1.175,00 ; MYR 1.351,25 ;Hewlett Packard;Active;0;3
BP0028;Transducers/ Probes;01-0303-0701-003;TOCO Avalon FEM20 Philips;Fm 200;Unit;Just In Time;Centralized;;Biomedical;No;0;2; MYR 4.400,00 ; MYR 5.060,00 ;Philips;Active;0;0
BP0021;Power Cords/ Adaptors (or any part of it);01-0502-0102-008;Plug Top 3 Pin 13amp;Common;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;10;300; MYR 5,30 ; MYR 6,10 ;Common;Active;0;6
BP0014;Hoses/ Tubings/ Adaptors/ Couplers/ Connectors/ Pipes;01-1903-0101-014;Male Connector;Accoson;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;1;150; MYR 4,00 ; MYR 4,60 ;Accoson;Active;0;3
BP0014;Hoses/ Tubings/ Adaptors/ Couplers/ Connectors/ Pipes;01-1903-0101-015;Female Connector;Accoson;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;1;150; MYR 2,50 ; MYR 2,88 ;Accoson;Active;0;0
BP0012;Filters;01-1907-0101-025;CLEMENT FILTER;Suc 84100;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;1;50; MYR 85,00 ; MYR 97,75 ;Clements;Active;0;9
BP0012;Filters;01-1907-0502-001;MADELA Filter Bacterial;046-1326;Unit;Just In Time;Centralized;;Biomedical;No;0;5; MYR 98,00 ; MYR 112,70 ;Madela;Active;0;4
BP0003;Bulbs/ Lamps;01-1902-0101-001;Bulb,12V/4.2A 50W;L0185;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;1;15; MYR 20,00 ; MYR 23,00 ;Inami;Active;0;0
BP0003;Bulbs/ Lamps;01-1902-0101-002;Bulb 6V4.5A;Inami;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;1;15; MYR 138,00 ; MYR 158,70 ;Inami;Active;0;1
BP0003;Bulbs/ Lamps;01-1902-0201-001;Bulb 6V 4.5 A;Sl 400;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;1;20; MYR 215,00 ; MYR 247,25 ;Nidek;Active;0;0
BP0021;Power Cords/ Adaptors (or any part of it);01-2300-0201-008;Power Cord 1.8M;Common/General;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;1;150; MYR 18,00 ; MYR 20,70 ;Volex;Active;0;0
BP0006;Cuffs;01-0203-0102-003;Infant Cuff 2 Tb;9300xl/Local;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;1;25; MYR 12,00 ; MYR 13,80 ;Critikon/Velcro;Active;0;37
BP0006;Cuffs;01-0203-0102-009;Infant Cuff 1 Tb;9300xl/Local;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;1;120; MYR 32,00 ; MYR 36,80 ;Critikon/Velcro;Active;0;45
BP0006;Cuffs;01-0203-0102-011;X-Large Cuff Adult 2TB;9300xl/Local;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;1;100; MYR 60,00 ; MYR 69,00 ;Critikon/Velcro;Active;0;32
BP0006;Cuffs;01-0203-0101-003;Cuff Large Adult 1 Tb;8100/Local;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;1;30; MYR 16,00 ; MYR 18,40 ;Critikon/Velcro;Active;0;50
BP0006;Cuffs;01-0203-0301-018;Cuff Adult 1 Tb;Bp8800/Local;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;10;300; MYR 30,00 ; MYR 34,50 ;Colin/Velcro;Active;0;4
BP0006;Cuffs;01-0203-0301-002;Cuff Adult Large 2 Tb;Bp8800/Local;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;1;50; MYR 16,00 ; MYR 18,40 ;Colin/Velcro;Active;0;0
BP0006;Cuffs;01-0203-0301-003;Cuff Adult 2 Tb;Bp8800/Local;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;20;500; MYR 33,00 ; MYR 37,95 ;Colin/Velcro;Active;0;23
BP0006;Cuffs;01-0203-0301-004;Cuff Child 2 Tb;Bp8800/Local;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;1;30; MYR 30,00 ; MYR 34,50 ;Colin/Velcro;Active;0;36
BP0008;Displays/ Backlights/ Panels;01-0903-0201-010;TOP 3300 FRONT PANEL ASSEMBLY (T6330516(5) );Top 3100;Unit;One Off;Others;Vendor - By Purchase Order;Biomedical;No;0;1; MYR 2.067,00 ; MYR 2.377,05 ;Top;Active;0;0
BP0003;Bulbs/ Lamps;01-1902-0302-001;BULB SLIT LAMP 6V 4.5A W/CENTER HAAG STREIT BM900;Bm900;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;1;20; MYR 70,00 ; MYR 80,50 ;Haag-Streit;Active;0;0
BP0021;Power Cords/ Adaptors (or any part of it);01-1903-0701-001;Power Adaptor;Hem-907;Unit;One Off;Others;Vendor - By Purchase Order;Biomedical;No;0;7; MYR 80,00 ; MYR 92,00 ;Omron;Active;0;0
BP0021;Power Cords/ Adaptors (or any part of it);01-0203-1201-002;POWER DAPTOR HEM 907 OMRON;Hem-907;Unit;One Off;Others;Vendor - By Purchase Order;Biomedical;No;0;10; MYR 68,00 ; MYR 78,20 ;Omron;Active;0;2
BP0025;Sensors/ Detectors;01-2202-0401-006;DRAGER BABYLOG 8000 OXYGEN CELL 6850645 (GOLD PACKING) (OEM OOM201 );Fabius GS;Unit;Fast Moving Item;Company Site Office;;Biomedical;Yes;1;10; MYR 974,00 ; MYR 1.120,10 ;Draeger;Active;6;0
BP0025;Sensors/ Detectors;01-2203-0401-008;Oxygen Sensor Capsule;Babylog 8000;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;1;5; MYR 80,00 ; MYR 92,00 ;Draeger;Active;0;0
BP0025;Sensors/ Detectors;01-2202-1401-001;Oxygen Sensor;Servo 300;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;1;5; MYR 350,00 ; MYR 402,50 ;Marquet;Active;0;0
BP0025;Sensors/ Detectors;01-1601-1000-002;MARQUETTE EXTENSION SPO2 SENSOR;Solar 8000;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;1;10; MYR 300,00 ; MYR 345,00 ;Marquet;Active;0;3
BP0025;Sensors/ Detectors;01-2202-1901-002;EXTENAL MEDICAL OXYGEN SENSOR MAX-250E;Avea;Unit;Fast Moving Item;Company Site Office;;Biomedical;Yes;1;15; MYR 440,00 ; MYR 506,00 ;Viasys Vela;Active;6;4
BP0001;Batteries/ UPS;01-1603-0103-001;Rechargeable Battery 6V;N-195;Unit;Just In Time;Centralized;;Biomedical;No;0;5; MYR 300,00 ; MYR 345,00 ;Nellcor;Active;0;0
BP0001;Batteries/ UPS;01-1603-0106-004;Rechargeable Battery 6V;Nbp 290;Unit;Just In Time;Centralized;;Biomedical;No;0;30; MYR 65,00 ; MYR 74,75 ;Nellcor;Active;0;0
BP0025;Sensors/ Detectors;01-1603-0901-001;MASIMO SPO2 FINGER SENSOR ADULT LNOP DCI;2000;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;1;30; MYR 580,00 ; MYR 667,00 ;Ivy;Active;0;0
BP0025;Sensors/ Detectors;01-1603-0901-006;SPO2 finger sensor child masimo;2000;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;1;12; MYR 740,00 ; MYR 851,00 ;Ivy;Active;0;0
BP0004;Cables/ Lead Wires (or any part of it);01-1601-1000-001;MARQUETTE SPO2 ADAPTOR CABLE HELLIGE;Solar 8000;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;1;3; MYR 1.130,00 ; MYR 1.299,50 ;Marquet;Active;0;3
BP0004;Cables/ Lead Wires (or any part of it);01-1603-1705-008;MASIMO EXTENSIN CABLE M-LNCS-10;Radical;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;1;28; MYR 600,00 ; MYR 690,00 ;Masimo;Active;0;3
BP0003;Bulbs/ Lamps;01-1201-0201-002;Bulb PENLON 55092;Penlon;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;1;15; MYR 50,00 ; MYR 57,50 ;Penlon;Active;0;6
BP0011;Equipment Specific Parts;01-1302-0101-004;Pot Meter;Myomed 432;Unit;One Off;Others;Vendor - By Purchase Order;Biomedical;No;0;1; MYR 105,00 ; MYR 120,75 ;Jh-Enraf;Active;0;0
BP0011;Equipment Specific Parts;01-1302-0101-005;Strap,250X3Cm;Myomed 432;Unit;One Off;Others;Vendor - By Purchase Order;Biomedical;No;0;7; MYR 1.980,00 ; MYR 2.277,00 ;Jh-Enraf;Active;0;0
BP0003;Bulbs/ Lamps;01-1602-0101-001;MADELA LAMP PHOTOTHERAPY 18w/71;;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;10;500; MYR 25,00 ; MYR 28,75 ;Osram;Active;0;47
BP0003;Bulbs/ Lamps;01-1504-0101-006;BULB KILLER VISTA 2.8V 6 1011-P-7042;Vista;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;1;10; MYR 95,00 ; MYR 109,25 ;Keeler;Active;0;1
BP0003;Bulbs/ Lamps;01-1504-0101-003;Bulb 2.5V;Vista;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;1;4; MYR 175,00 ; MYR 201,25 ;Keeler;Active;0;0
BP0018;Motors/ Micromotors/ Carbon brushes;01-0802-0502-005;Fresenius 4008S Stepper Motor;4008b;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;1;5; MYR 3.150,00 ; MYR 3.622,50 ;Fresenius;Active;0;0
BP0004;Cables/ Lead Wires (or any part of it);01-0601-0201-002;Retractile Cable;HS-100;Unit;One Off;Others;Vendor - By Purchase Order;Biomedical;No;0;5; MYR 105,00 ; MYR 120,75 ;Huntleigh;Active;0;0
BP0007;Diaphragms/ Pumps;01-0802-0502-008;Fresenius 4008S Concentrate Pump Assy Complete;4008b;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;1;5; MYR 2.080,00 ; MYR 2.392,00 ;Fresenius;Active;0;0
BP0007;Diaphragms/ Pumps;01-0802-0501-004;Fresenius 4008S Gear Pump Head;A2008d;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;1;4; MYR 1.180,00 ; MYR 1.357,00 ;Fresenius;Active;0;1
BP0001;Batteries/ UPS;01-0503-0302-001;Rechargeable Battery 4.6V 700Mah;106;Unit;Just In Time;Centralized;;Biomedical;No;0;1; MYR 80,00 ; MYR 92,00 ;Suzuken;Active;0;0
BP0001;Batteries/ UPS;01-0503-0303-001;SUZUKENZ 108 RECHARGEABLE BATTERY 12V 1200MAH;108;Unit;Just In Time;Centralized;;Biomedical;No;0;11; MYR 480,00 ; MYR 552,00 ;Suzuken;Active;0;10
BP0021;Power Cords/ Adaptors (or any part of it);01-0502-0102-003;3 Pin Plug Adaptor;Icc300;Unit;One Off;Others;Vendor - By Purchase Order;Biomedical;No;0;100; MYR 6,90 ; MYR 7,94 ;Erbe;Active;0;0
BP0004;Cables/ Lead Wires (or any part of it);01-1601-0601-001;Ecg Cable;Lifescope;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;1;3; MYR 600,00 ; MYR 690,00 ;Nihon Kohden;Active;0;0
